Date,Open,High,Low,Close,Volume
2024-03-25,172.35,174.00,171.55,173.20,23456100
2024-03-26,173.50,175.20,172.00,174.80,21000000
2024-03-27,174.90,176.50,173.20,175.95,22000000
2024-03-28,176.10,177.90,175.50,177.50,20500000
2024-04-01,177.70,178.40,176.20,177.80,19800000
2024-04-02,177.60,179.00,176.80,178.95,21500000
2024-04-03,179.10,180.60,178.50,180.25,22300000
2024-04-04,180.30,181.50,179.00,180.90,20000000
2024-04-05,181.00,182.00,180.10,181.70,21000000
2024-04-08,182.00,183.40,181.30,182.95,19900000
2024-04-09,183.00,184.20,182.00,183.80,20700000
