Date,Open,High,Low,Close,Volume
2024-03-25,900.00,915.00,890.50,905.20,32100000
2024-03-26,908.50,920.00,900.00,915.80,29500000
2024-03-27,920.00,930.50,910.20,925.30,31250000
2024-03-28,928.00,940.00,920.00,938.50,32800000
2024-04-01,940.00,950.00,932.00,945.10,30000000
2024-04-02,945.50,955.00,940.00,951.70,31000000
2024-04-03,954.00,965.00,950.00,960.25,31500000
2024-04-04,962.00,970.00,955.00,968.90,32000000
2024-04-05,970.00,975.00,960.00,972.40,33000000
2024-04-08,973.00,980.00,965.00,978.00,34000000
2024-04-09,980.50,990.00,975.00,986.20,34500000
